user,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,retweet subjectivity
AVminer2,2020-07-09 18:52:00,https://t.co/zpQjYUYyDH,neutral,0.0,,,,,1281300086069309442,0.0,
AVminer2,2020-07-03 20:14:24,@sepinwall random tweet #awesome,positive,0.25,,,,,1279146495867002880,0.75,
AVminer2,2020-07-03 20:13:51,https://t.co/LgBA0hTQLU,neutral,0.0,,,,,1279146358629437440,0.0,
AVminer2,2020-07-02 03:04:32,'#Daimler-backed #Momenta says its #robotaxis will be fully #driverless and profitable in 2024 https://t.co/ymh44Ss3A5 via @techcrunch',neutral,0.0,,,,,1278524934499827712,0.0,
AVminer2,2020-06-29 16:45:18,Autonomous vehicles are performing better and better every day.,positive,0.4666666666666666,,,,,1277644319927795712,0.5666666666666667,
ALakrintis,2020-07-16 08:19:57,Spiking Neural Networks Place Data In Time #AI #CMOS applications #spikingneuralnetworks #SNN https://t.co/Z5LxggqFkX,neutral,0.0,,,,,1283677739980029952,0.0,
ALakrintis,2020-07-13 10:18:18,#China #AutonomousVehicles #Market Dynamics - AVS 2020 Q2 https://t.co/YxeVgBUeQQ,neutral,0.0,,,,,1282620361176231939,0.0,
ALakrintis,2020-07-08 15:32:00,,,,"#OnTheRoadToFullAutonomy

A sneak peek of an exciting news coming soon… https://t.co/CxZyzIPDke",positive,0.3,,1280887367553949697,,0.8
ALakrintis,2020-07-08 13:14:08,Autonomous driving startup turns its AI expertise to space for automated satellite operation https://t.co/l4ega8EBPv via @techcrunch,positive,0.4,,,,,1280852669163323392,0.7,
ALakrintis,2020-07-07 10:40:01,"#GAC #NIO, NIO co-develop new car platform powered by #SAE L4 #autonomousdriving tech https://t.co/fhkZ4U7TPO via @Gasgoo_com",positive,0.13636363636363635,,,,,1280451500016271360,0.45454545454545453,
LawOfDriverless,2020-07-16 16:12:27,Interesting to see @oxbotica going in big promoting the benefits of localised sensors over GPS in this @Daily_Express article: https://t.co/PuLS6A68TZ https://t.co/ICXHGxGdjt,positive,0.25,,,,,1283796646640463872,0.3,
