,user,search query,post date-time,account status,account sentiment,account sentiment score,retweet status,retweet sentiment,retweet sentiment score,post location,tweet id,account subjectivity,account subjectivity score,retweet subjectivity,retweet subjectivity score,tones,sadness_score,joy_score,fear_score,disgust_score,anger_score
0,MsABalakrishnan,autonomous driving,2020-01-01 23:02:14,mildly interesting: huawei hiring for autonomous driving engineers in canada. had previously only seen that they were working on it in europe and china.,positive,0.3,,,,,1212509365179207686,subjective,0.7333333333333334,,,,0.140456,0.246442,0.092592,0.049811,0.032277
1,DavidHerse,autonomous driving,2020-01-01 22:15:06,"7. autonomous transport will disrupt logistics, public transport and the automobile industries. 8. logistics will be further optimised with machine learning to decrease transport distances. ... autonomousdriving logistics",positive,0.13333333333333333,,,,,1212497501275615232,objective,0.4222222222222222,,,,0.073143,0.113136,0.048931,0.026648,0.055455
2,GeorgeOu,autonomous driving,2020-01-01 22:11:00,"this is a straw-man. i never said building an autonomous driving system was easy. in fact it's crazy hard. what i said was it should not be that hard to detect rain and limit the speed. wet road detection is probably harder, but i suspect possible.",negative,-0.06874999999999999,,,,,1212496470055604224,subjective,0.6145833333333333,,,sadness,0.61296,0.025513,0.398343,0.072896,0.200099
3,PrataCatalin,autonomous driving,2020-01-01 22:05:44,"european parliament, unece and tesla: tesla's full self driving in eu and autonomous driving in the european transport - sign the petition! via",positive,0.1875,,,,,1212495147231043595,objective,0.3125,,,,0.247551,0.274747,0.106522,0.127287,0.074054
4,dancehallaudio,autonomous driving,2020-01-01 21:39:00,computer vision + gpu = match made in heaven: add cuda to opencv | gpu computervision nvidia hpc autonomous autonomousdriving opengl cmake visualstudio cudatoolkit cudatoolkit10 cudax cudac python opencvpython pythonopencv robotics,positive,0.4,,,,,1212488416949964800,subjective,0.7,,,,0.057333,0.309144,0.05389,0.01244,0.055658
5,MiKeMcDnet,autonomous driving,2020-01-02 23:28:48,"_jack definitely an established precedent. even with glitchy software, their autonomous driving, on average, is probably better than southflorida drivers. the day that lives lost to automation &lt; lives lost to human error, the machines should, for certain, be drivingmissdaisy.",positive,0.16071428571428573,,,,"Place(_api=<tweepy.api.API object at 0x12f21ad68>, id='fd0764db0b40d29a', url='https://api.twitter.com/1.1/geo/id/fd0764db0b40d29a.json', place_type='city', name='Pine Island Ridge', full_name='Pine Island Ridge, FL', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x12f21ad68>, type='Polygon', coordinates=[[[-80.282775, 26.089889], [-80.265788, 26.089889], [-80.265788, 26.1051956], [-80.282775, 26.1051956]]]), attributes={})",1212878439214129152,objective,0.4619047619047619,,,sadness,0.771102,0.052421,0.225061,0.054404,0.108702
6,iTrucker_,autonomous driving,2020-01-02 23:01:38,"this emergingtech leverages ar to help drivers ""see the invisible"". by via rt iot 5g selfdrivingcars autonomousdriving robotics vr artificialintelligence ai tech techtrends megatrends",neutral,0.0,,,,,1212871600611180545,very objective,0.0,,,,0.113239,0.308432,0.102896,0.059797,0.02074
7,Innovation_GC,autonomous driving,2020-01-02 22:34:27,check out my latest article: mercedes pushes ahead autonomous driving via,positive,0.45,,,,,1212864761827860482,very subjective,0.8,,,,0.210587,0.297525,0.197754,0.070552,0.085581
8,Bluedog53,autonomous driving,2020-01-02 22:18:16,"not only is becoming a programer incredibly difficult, but you also need to be an expert on the item you are writing code for (autonomousdriving , engines, consumer electronics, power industry....etc). is a fool. thefive",negative,-0.016666666666666663,,,,,1212860688714125312,very subjective,0.95,,,,0.486776,0.128428,0.056728,0.04103,0.153482
9,metoscm,autonomous driving,2020-01-02 21:37:28,"ces las vegas 2020: korea's saltlux has ai solutions for autonomous driving, vr/ar, rpa",positive,0.4,,,,,1212850421779357696,subjective,0.7,,,,0.095519,0.429173,0.071659,0.003882,0.030275
10,VutopiaTrading,autonomous driving,2020-01-03 23:56:39,"_ax 3) nio announced couple months ago collaboration with mobileye which is sub of intel corporation for l4 autonomous driving. nio to design / build cars, mobileye to provide ad software etc. terms not disclosed yet. 4) technicals the chart is bullish.",positive,0.4,,,,,1213247834939645952,subjective,0.7,,,,0.05347,0.378731,0.052571,0.053887,0.093083
11,lidarnews,autonomous driving,2020-01-03 23:13:03,one decade to reverse climatechange trends - &amp; lidar gps mentoring autonomousvehicles autonomousdriving,neutral,0.0,,,,,1213236861474353154,very objective,0.0,,,,0.394257,0.395765,0.118665,0.15082,0.011305
12,penn_benton,autonomous driving,2020-01-03 22:45:00,"meet alisyn malek, co-founder of a company spearheading autonomous driving. an automotive industry veteran, this engineer and mba by training envisions a world with self-driving micro-transit.",positive,0.2,,,,,1213229804033437698,objective,0.35,,,,0.172791,0.409219,0.076997,0.079748,0.040057
13,despipuer,autonomous driving,2020-01-03 22:00:27,un camión sin conductor cruza eeuu de costa a costa en tres días. cargamento de mantequilla que viaja de california a pensilvania. futureofmobility movilidad autonomousvehicles autonomousdriving vehículosautónomos vía,neutral,0.0,,,,,1213218590813564928,very objective,0.0,,,,0.220491,0.407128,0.17742,0.214133,0.054347
14,IAM__Network,autonomous driving,2020-01-03 21:54:43,iam platform curated tweet: what are the weakest links in the autonomous driving chain? | automotive world autonomousvehicles autopilot cars cities drones futurewp2twtr1,positive,0.4,,,,,1213217149982040064,subjective,0.7,,,,0.281054,0.060726,0.150279,0.157232,0.240403
15,Michael08683363,autonomous driving,2020-01-04 23:21:43,wow son i love the car super clean i love the extra row of seats full autonomous driving not exactly the mother ship but it's a nice addition not that i would know i got my right foot and left still nailed down but with two trunks i'm sure you can help us find the back door,positive,0.24367724867724866,,,,,1213601433100140544,subjective,0.5253439153439153,,,joy,0.119811,0.710978,0.012107,0.036191,0.154679
16,sethusathya,autonomous driving,2020-01-04 22:22:27,how selfdrivingcars could “see” what is going on around them - autonomousvehicles autonomousdriving computervision robotics iot iiot artificialintelligence cognitivecomputing,neutral,0.0,"This is how self-driving cars ""see"" what's going on around them https://t.co/u5V7kIpHYq",neutral,0.0,,1213586514300551168,very objective,0.0,very objective,0.0,,0.162476,0.216936,0.16989,0.056797,0.059981
17,smithcorptweet,autonomous driving,2020-01-04 21:57:43,"i think it's clear that current tech isn't up to the requirements of autonomous driving with human pedestrians, cyclists and drivers. we transport planners need to be shouting this from the rooftops",positive,0.125,,,,,1213580291010256896,objective,0.39583333333333337,,,,0.0824,0.028344,0.056226,0.186223,0.108178
18,BUrbanist,autonomous driving,2020-01-04 20:47:36,"it is clear that the city-car conflict is related to space, and that it will not be resolved with electric traction or autonomous driving ... bustoarsizio milano urbanism urbanmobility multistoreycarpark rightdensity",positive,0.16666666666666666,"If everybody drives, your city won't thrive https://t.co/R8PGYuPjWg",neutral,0.0,,1213562646873694209,objective,0.4944444444444445,very objective,0.0,,0.12374,0.0656,0.04783,0.025452,0.136805
19,helmi,autonomous driving,2020-01-04 20:20:26,"yes, i purchased the fsd package, so i do have hw3. un regulations are tough and so features are quite limited atm. personally i cant wait for autonomous driving to be available but still the car is so much fun without it that i dont really care. without speed limit i don‘t &gt;",positive,0.11995464852607708,,,,"Place(_api=<tweepy.api.API object at 0x12f21ad68>, id='ded821ace08ff248', url='https://api.twitter.com/1.1/geo/id/ded821ace08ff248.json', place_type='city', name='Mering', full_name='Mering, Deutschland', country_code='DE', country='Germany', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x12f21ad68>, type='Polygon', coordinates=[[[10.940413, 48.24491], [11.06668, 48.24491], [11.06668, 48.287946], [10.940413, 48.287946]]]), attributes={})",1213555810120486913,objective,0.3965986394557824,,,,0.497649,0.022486,0.018984,0.012004,0.087877
20,BertrandDuflos,autonomous driving,2020-01-05 23:22:14,velodyne and hyundai mobis to develop lidar-based adas system hyundai mobis will also invest $50 million in velodyne. the two companies plan to commercialize their first lidar system for level 3 autonomous driving in 2021.,positive,0.325,,,,,1213963948694872064,subjective,0.5166666666666666,,,joy,0.142588,0.511139,0.182617,0.016762,0.018796
21,savitz,autonomous driving,2020-01-05 22:43:15,"took a cool test ride today in this qualcomm-powered autonomous driving demo car. with no spinning lidar. (it’s a lincoln, btw.) qualcomm ces2020",positive,0.375,,,,,1213954139639533568,subjective,0.675,,,joy,0.066022,0.693269,0.063643,0.03168,0.069417
22,TThink_Free,autonomous driving,2020-01-05 22:11:43,"_bits i suppose ... as i said, their is not better car ... the ap isn't perfect and you have to be all the time checking he is performing as planned ... it's not autonomous driving, it's a software that drive and you have to take control on every things that are not usual on the road",positive,0.16875,,,,,1213946203706138626,subjective,0.6125,,,,0.334269,0.070655,0.448975,0.100712,0.250436
23,DSarroseangel,autonomous driving,2020-01-05 22:08:00,"autonomous driving, testing it? stupid 2 me i wanna drive my car",negative,-0.2,,,,,1213945268703387648,very subjective,0.85,,,anger,0.10213,0.007354,0.255433,0.165551,0.69691
